sample_id	PC1	PC2
TCGA-E9-A3Q9-01	-0.112942	-0.027401
TCGA-E9-A3QA-01	0.456212	0.017544
TCGA-E9-A3X8-01	-0.024295	0.332099
TCGA-E9-A54X-01	-0.022933	-0.040722
TCGA-E9-A54Y-01	-0.213542	-0.267392
TCGA-E9-A5FK-01	-0.095683	0.212713
TCGA-E9-A5FL-01	0.316574	0.038367
TCGA-E9-A5UO-01	-0.259721	-0.288274
TCGA-E9-A5UP-01	-0.134684	-0.128950
TCGA-E9-A6HE-01	-0.186796	0.068790
TCGA-EW-A1IW-01	-0.099419	0.071365
TCGA-EW-A1IX-01	-0.038265	0.104923
TCGA-EW-A1IY-01	0.023602	0.037069
TCGA-EW-A1IZ-01	0.012019	-0.035657
TCGA-EW-A1J1-01	-0.138087	-0.146444
TCGA-EW-A1J2-01	-0.051746	0.112695
TCGA-EW-A1J3-01	-0.108884	-0.013691
TCGA-EW-A1J5-01	-0.172635	-0.117709
TCGA-EW-A1J6-01	-0.008949	-0.159239
TCGA-EW-A1OV-01	0.070654	-0.163374
TCGA-EW-A1OW-01	0.372806	-0.017674
TCGA-EW-A1OX-01	-0.256567	-0.289721
TCGA-EW-A1OY-01	-0.039554	-0.196770
TCGA-EW-A1OZ-01	-0.138470	-0.241753
TCGA-EW-A1P0-01	-0.052431	-0.226531
TCGA-EW-A1P1-01	0.215840	0.227399
TCGA-EW-A1P3-01	-0.150687	0.045828
TCGA-EW-A1P4-01	0.437689	-0.126461
TCGA-EW-A1P5-01	-0.102716	-0.126518
TCGA-EW-A1P6-01	-0.053788	-0.112378
TCGA-EW-A1P7-01	0.418309	0.100786
TCGA-EW-A1P8-01	0.444146	-0.127819
TCGA-EW-A1PA-01	-0.130855	0.038062
TCGA-EW-A1PB-01	0.362147	-0.134155
TCGA-EW-A1PC-01	-0.029354	-0.320773
TCGA-EW-A1PD-01	-0.068643	0.021806
TCGA-EW-A1PE-01	-0.056043	0.004634
TCGA-EW-A1PF-01	-0.034997	0.112208
TCGA-EW-A1PG-01	0.112014	0.199954
TCGA-EW-A1PH-01	0.341803	-0.084187
TCGA-EW-A2FR-01	0.130376	0.048962
TCGA-EW-A2FS-01	-0.064241	-0.018556
TCGA-EW-A2FV-01	0.001077	-0.005799
TCGA-EW-A2FW-01	-0.084590	-0.115485
TCGA-EW-A3E8-01	-0.198798	0.150924
TCGA-EW-A3U0-01	0.428648	0.037733
TCGA-EW-A423-01	-0.216110	-0.166880
TCGA-EW-A424-01	-0.242320	0.149163
TCGA-EW-A6S9-01	-0.118422	0.043424
TCGA-EW-A6SA-01	-0.272884	-0.278134
TCGA-EW-A6SB-01	0.358953	-0.083397
TCGA-EW-A6SC-01	-0.144597	0.088545
TCGA-EW-A6SD-01	0.107979	0.018299
TCGA-GI-A2C8-01	-0.199999	0.052719
TCGA-GI-A2C9-01	0.351114	-0.073337
TCGA-GM-A2D9-01	-0.266617	0.083018
TCGA-GM-A2DA-01	-0.134318	0.181551
TCGA-GM-A2DB-01	0.171117	0.034321
